Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Flink FileSystem SQL Connector Generating SUCESS File Multiple Times,FLINK-35521,13581550,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,ewangviasat,ewangviasat,04/Jun/24 16:27,04/Jun/24 16:30,04/Jun/24 20:40,,1.18.1,,,,,,,,,,,Connectors / FileSystem,,,,0,,,"Our Flink table SQL job received data from the Kafka streams and then sinked all partitioned data into the associated parquet files under the same S3 folder through the filesystem SQL connector.

For the S3 filesystem SQL connector, sink.partition-commit.policy.kind was set to 'success-file' and sink.partition-commit.trigger was set to 'partition-time'. We found that _SUCCESS file in the S3 folder was generated multiple times after multiple partitions are committed.

Because all partitioned parquet files and _SUCCESS file are in the same S3 folder and _SUCCESS file is used to trigger the downstream application, we really like the _SUCCESS file to be generated only once instead of multiple times after all partitions are committed and all parquet files are ready to be processed. Thus, one _SUCCESS file can be used to trigger the downstream application only once instead of multiple times.

We knew we could set sink.partition-commit.trigger to 'process-time' to generate _SUCCESS file only once in the S3 folder; however, 'process-time' would not meet our business requirements.

We'd request the FileSystem SQL connector should support to the following new user case:
Even if sink.partition-commit.trigger is set to 'partition-time', _SUCCESS file will be generated only once after all partitions are committed and all output files are ready to be processed, and will be used to trigger the downstream application only once instead of multiple times.",Our PyFlink SQL jobs are running in AWS EKS environment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,Important,,,,,,,,9223372036854775807,,,,2024-06-04 16:27:00.0,,,,,,,,,,"0|z1pm14:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master can't compile as license check failed,FLINK-35520,13581503,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,,,Weijie Guo,Weijie Guo,04/Jun/24 09:44,04/Jun/24 10:59,04/Jun/24 20:40,,1.20.0,,,,,,,,,,,Build System / CI,,,,0,,,https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=60024&view=logs&j=52b61abe-a3cc-5bde-cc35-1bbe89bb7df5&t=54421a62-0c80-5aad-3319-094ff69180bb&l=45808,,,,,,,,,,,,,,,,,,,,,FLINK-35282,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 04 10:59:28 UTC 2024,,,,,,,,,,"0|z1plqo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jun/24 09:53;Weijie Guo;Hi [~antoniovespoli], would you mind taking a look? I found this issue after FLINK-35282 merged.;;;","04/Jun/24 10:59;Sergey Nuyanzin;so far it was reverted as mentioned in comments FLINK-35282
 PS:  I have a fix for this at https://github.com/snuyanzin/flink/commit/5a4f4d0eb785050552c73fbfc74214f85ee278b0
which could be tried when build will be more stable;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Flink Job fails with SingleValueAggFunction received more than one element,FLINK-35519,13581499,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,dwysakowicz,dwysakowicz,04/Jun/24 09:32,04/Jun/24 09:32,04/Jun/24 20:40,,1.19.0,,,,,,,,,,,Table SQL / Planner,,,,0,,,"When running a query:
{code}
select 
   (SELECT 
       t.id 
    FROM raw_pagerduty_users, UNNEST(teams) AS t(id, type, summary, self, html_url))
from raw_pagerduty_users;
{code}
it is translated to:

{code}
Sink(table=[default_catalog.default_database.sink], fields=[EXPR$0])
+- Calc(select=[$f0 AS EXPR$0])
   +- Join(joinType=[LeftOuterJoin], where=[true], select=[c, $f0], leftInputSpec=[NoUniqueKey], rightInputSpec=[JoinKeyContainsUniqueKey])
      :- Exchange(distribution=[single])
      :  +- Calc(select=[c])
      :     +- TableSourceScan(table=[[default_catalog, default_database, raw_pagerduty_users, project=[c, teams], metadata=[]]], fields=[c, teams])(reuse_id=[1])
      +- Exchange(distribution=[single])
         +- GroupAggregate(select=[SINGLE_VALUE(id) AS $f0])
            +- Exchange(distribution=[single])
               +- Calc(select=[id])
                  +- Correlate(invocation=[$UNNEST_ROWS$1($cor0.teams)], correlate=[table($UNNEST_ROWS$1($cor0.teams))], select=[c,teams,id,type,summary,self,html_url], rowType=[RecordType(BIGINT c, RecordType:peek_no_expand(VARCHAR(2147483647) id, VARCHAR(2147483647) type, VARCHAR(2147483647) summary, VARCHAR(2147483647) self, VARCHAR(2147483647) html_url) ARRAY teams, VARCHAR(2147483647) id, VARCHAR(2147483647) type, VARCHAR(2147483647) summary, VARCHAR(2147483647) self, VARCHAR(2147483647) html_url)], joinType=[INNER])
                     +- Reused(reference_id=[1])
{code}

and it fails with:

{code}
java.lang.RuntimeException: SingleValueAggFunction received more than one element.
	at GroupAggsHandler$150.accumulate(Unknown Source)
	at org.apache.flink.table.runtime.operators.aggregate.GroupAggFunction.processElement(GroupAggFunction.java:151)
	at org.apache.flink.table.runtime.operators.aggregate.GroupAggFunction.processElement(GroupAggFunction.java:43)
	at org.apache.flink.streaming.api.operators.KeyedProcessOperator.processElement(KeyedProcessOperator.java:83)
	at org.apache.flink.streaming.runtime.io.RecordProcessorUtils.lambda$getRecordProcessor$0(RecordProcessorUtils.java:60)
	at org.apache.flink.streaming.runtime.tasks.OneInputStreamTask$StreamTaskNetworkOutput.emitRecord(OneInputStreamTask.java:237)
	at org.apache.flink.streaming.runtime.io.AbstractStreamTaskNetworkInput.processElement(AbstractStreamTaskNetworkInput.java:146)
	at org.apache.flink.streaming.runtime.io.AbstractStreamTaskNetworkInput.emitNext(AbstractStreamTaskNetworkInput.java:110)
	at org.apache.flink.streaming.runtime.io.StreamOneInputProcessor.processInput(StreamOneInputProcessor.java:65)
	at org.apache.flink.streaming.runtime.tasks.StreamTask.processInput(StreamTask.java:571)
	at org.apache.flink.streaming.runtime.tasks.mailbox.MailboxProcessor.runMailboxLoop(MailboxProcessor.java:231)
	at org.apache.flink.streaming.runtime.tasks.StreamTask.runMailboxLoop(StreamTask.java:900)
	at org.apache.flink.streaming.runtime.tasks.StreamTask.invoke(StreamTask.java:849)
	at org.apache.flink.runtime.taskmanager.Task.runWithSystemExitMonitoring(Task.java:953)
	at org.apache.flink.runtime.taskmanager.Task.restoreAndInvoke(Task.java:932)
	at org.apache.flink.runtime.taskmanager.Task.doRun(Task.java:746)
	at org.apache.flink.runtime.taskmanager.Task.run(Task.java:562)
	at java.base/java.lang.Thread.run(Thread.java:829)
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-04 09:32:08.0,,,,,,,,,,"0|z1plps:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI Bot doesn't run on PRs - status UNKNOWN,FLINK-35518,13581493,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Duplicate,jingge,pnowojski,pnowojski,04/Jun/24 09:08,04/Jun/24 10:59,04/Jun/24 20:40,04/Jun/24 10:59,1.20.0,,,,,,,,,,,Build System / CI,,,,0,,,"Doesn't want to run on my PR/branch. I was doing force-pushes, rebases, asking flink bot to run, closed and opened new PR, but nothing helped
https://github.com/apache/flink/pull/24868
https://github.com/apache/flink/pull/24883

I've heard others were having similar problems recently.",,,,,,,,,,,,,,,,,,,,FLINK-35517,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 04 09:11:03 UTC 2024,,,,,,,,,,"0|z1plog:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jun/24 09:11;Weijie Guo;Yes, I have created a ticket(FLINK-35517) also intend to track this issue.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI pipeline triggered by pull request seems unstable,FLINK-35517,13581488,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,jingge,Weijie Guo,Weijie Guo,04/Jun/24 08:32,04/Jun/24 11:00,04/Jun/24 20:40,04/Jun/24 11:00,1.20.0,,,,,,,,1.20.0,,,Build System / CI,,,,0,,,"Flink CI pipeline triggered by pull request seems sort of unstable. 

For example, https://github.com/apache/flink/pull/24883 was filed 15 hours ago, but CI report is UNKNOWN.",,,,,,,,,,,,,,,,,,,FLINK-35518,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 04 11:00:54 UTC 2024,,,,,,,,,,"0|z1plnc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jun/24 08:56;Weijie Guo;I have reached out [~lorenzo.affetti] to see if this is related to the Ververica machine?

cc [~jingge] ;;;","04/Jun/24 10:48;jingge;It should work again. [~Weijie Guo] please let me know if you still have any issues. Thanks!;;;","04/Jun/24 10:51;fanrui;Hi [~jingge] , thanks for the quick fix. :)

May I know whether all old PRs can be recovered as well? Or only new PR works now?;;;","04/Jun/24 11:00;jingge;[~fanrui] all PRs will be recovered.;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Update the Experimental annotation to PublicEvolving for files connector ,FLINK-35516,13581471,,Technical Debt,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,RocMarshal,RocMarshal,RocMarshal,04/Jun/24 05:17,04/Jun/24 11:09,04/Jun/24 20:40,,,,,,,,,,,,,Connectors / FileSystem,,,,0,pull-request-available,,"as described in https://issues.apache.org/jira/browse/FLINK-35496
We should update the annotations for the stable APIs in files connector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 04 05:18:15 UTC 2024,,,,,,,,,,"0|z1pljk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jun/24 05:18;RocMarshal;I'd like to contribute for the Jira.
Could someone assign it to me ?
Thanks a lot.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade hive version to 4.0.0,FLINK-35515,13581468,,New Feature,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,vikasap,vikasap,04/Jun/24 03:19,04/Jun/24 16:31,04/Jun/24 20:40,,1.18.1,,,,,,,,,,,Connectors / Hive,,,,0,,,Hive version 4.0.0 was released recently. However none of the major flink versions will work with this. Filing this so that major flink version's flink-sql and table api will be able to work with the new version of hive metastore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-04 03:19:52.0,,,,,,,,,,"0|z1pliw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Flink CDC Channel to Apache Flink Slack Workspace,FLINK-35514,13581463,,Improvement,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Implemented,leonard,gongzhongqiang,gongzhongqiang,04/Jun/24 01:53,04/Jun/24 03:43,04/Jun/24 20:40,04/Jun/24 03:43,cdc-3.1.0,,,,,,,,cdc-3.2.0,,,Build System,,,,0,,,DISCUSS thread : https://lists.apache.org/thread/gqzrs3c0j9k7c5m9m5k2slomgorrqrwf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 04 03:43:10 UTC 2024,,,,,,,,,,"0|z1plhs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jun/24 02:27;gongzhongqiang;Hi [~martijnvisser]  , Can you help create slack channel for flink-cdc ? cc [~Leonard];;;","04/Jun/24 02:38;leonard;Let me have a try;;;","04/Jun/24 03:43;leonard;done;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
ArtifactFetchManager unit tests are failing,FLINK-35513,13581411,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Duplicate,,elphastori,elphastori,03/Jun/24 15:10,03/Jun/24 15:24,04/Jun/24 20:40,03/Jun/24 15:24,1.19.0,,,,,,,,,,,Client / Job Submission,,,,0,,,"The following unit tests in [ArtifactFetchManagerTest.java|https://github.com/apache/flink/blob/e4fa72d9e480664656818395741c37a9995f9334/flink-clients/src/test/java/org/apache/flink/client/program/artifact/ArtifactFetchManagerTest.java] are failing
 * testFileSystemFetchWithAdditionalUri()
 * testHttpFetch()
 * testMixedArtifactFetch()

 
{code:java}
Test org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.testFileSystemFetchWithAdditionalUri[testFileSystemFetchWithAdditionalUri()] failed with:
java.lang.AssertionError: 
Expecting actual not to be empty
 at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.getFlinkClientsJar(ArtifactFetchManagerTest.java:251)
 at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.testFileSystemFetchWithAdditionalUri(ArtifactFetchManagerTest.java:104)
 ...

--------------------------------------------------------------------------------
Test org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.testMixedArtifactFetch[testMixedArtifactFetch()] failed with:
java.lang.AssertionError: 
Expecting actual not to be empty
 at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.getFlinkClientsJar(ArtifactFetchManagerTest.java:251)
 at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.testMixedArtifactFetch(ArtifactFetchManagerTest.java:149)
 ...

--------------------------------------------------------------------------------
Test org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.testHttpFetch[testHttpFetch()] failed with:
java.lang.AssertionError: 
Expecting actual not to be empty
 at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.getFlinkClientsJar(ArtifactFetchManagerTest.java:251)
 at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.testHttpFetch(ArtifactFetchManagerTest.java:124)
 ... 
{code}
 ",,,,,,,,,,,,,,,,,,,,FLINK-35512,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-06-03 15:10:10.0,,,,,,,,,,"0|z1pl68:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtifactFetchManagerTest unit tests fail,FLINK-35512,13581405,,Technical Debt,Reopened,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,hong,hong,03/Jun/24 14:54,04/Jun/24 11:04,04/Jun/24 20:40,,1.19.1,,,,,,,,1.19.1,,,,,,,0,,,"The below three tests from *ArtifactFetchManagerTest* seem to fail consistently:
 * ArtifactFetchManagerTest.testFileSystemFetchWithAdditionalUri
 * ArtifactFetchManagerTest.testMixedArtifactFetch
 * ArtifactFetchManagerTest.testHttpFetch

The error printed is
{code:java}
java.lang.AssertionError:
Expecting actual not to be empty
    at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.getFlinkClientsJar(ArtifactFetchManagerTest.java:248)
    at org.apache.flink.client.program.artifact.ArtifactFetchManagerTest.testMixedArtifactFetch(ArtifactFetchManagerTest.java:146)
    at java.lang.reflect.Method.invoke(Method.java:498)
    at java.util.concurrent.RecursiveAction.exec(RecursiveAction.java:189)
    at java.util.concurrent.ForkJoinTask.doExec(ForkJoinTask.java:289)
    at java.util.concurrent.ForkJoinPool$WorkQueue.runTask(ForkJoinPool.java:1056)
    at java.util.concurrent.ForkJoinPool.runWorker(ForkJoinPool.java:1692)
    at java.util.concurrent.ForkJoinWorkerThread.run(ForkJoinWorkerThread.java:175) {code}
 ",,,,,,,,,,,,,,,,,,,FLINK-35513,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 04 11:04:22 UTC 2024,,,,,,,,,,"0|z1pl4w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"03/Jun/24 16:15;hong;Turns out we do run the build test and it passes on nightlies

 

https://github.com/apache/flink/actions/runs/9343221840/job/25712717860#step:10:10364;;;","03/Jun/24 16:25;hong;However, it seems that the tests pass because we do the following:
 # Compile the build artifact for *flink-client.*
 # Run unit tests for *flink-client* module.

 ;;;","04/Jun/24 11:04;elphastori;[~hong] +1, I reproduced the error by running
{noformat}
./mvnw clean package{noformat};;;",,,,,,,,,,,,,,,,,,,,,,,,,,
