Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Outward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Incorporates),Inward issue link (Issue split),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
GroupAggregateRestoreTest.testRestore fails,FLINK-34513,13569798,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,,bvarghese,mapohl,mapohl,26/Feb/24 07:13,03/Jun/24 01:45,04/Jun/24 20:40,,1.20.0,,,,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,test-stability,,,"https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=57828&view=logs&j=26b84117-e436-5720-913e-3e280ce55cae&t=77cc7e77-39a0-5007-6d65-4137ac13a471&l=10881

{code}
Feb 24 01:12:01 01:12:01.384 [ERROR] Tests run: 10, Failures: 1, Errors: 0, Skipped: 1, Time elapsed: 2.957 s <<< FAILURE! -- in org.apache.flink.table.planner.plan.nodes.exec.stream.GroupAggregateRestoreTest
Feb 24 01:12:01 01:12:01.384 [ERROR] org.apache.flink.table.planner.plan.nodes.exec.stream.GroupAggregateRestoreTest.testRestore(TableTestProgram, ExecNodeMetadata)[4] -- Time elapsed: 0.653 s <<< FAILURE!
Feb 24 01:12:01 java.lang.AssertionError: 
Feb 24 01:12:01 
Feb 24 01:12:01 Expecting actual:
Feb 24 01:12:01   [""+I[3, 1, 2, 8, 31, 10.0, 3]"",
Feb 24 01:12:01     ""+I[2, 1, 4, 14, 42, 7.0, 6]"",
Feb 24 01:12:01     ""+I[1, 1, 4, 12, 24, 6.0, 4]"",
Feb 24 01:12:01     ""+U[2, 1, 4, 14, 57, 8.0, 7]"",
Feb 24 01:12:01     ""+U[1, 1, 4, 12, 32, 6.0, 5]"",
Feb 24 01:12:01     ""+I[7, 0, 1, 7, 7, 7.0, 1]"",
Feb 24 01:12:01     ""+U[2, 1, 4, 14, 57, 7.0, 7]"",
Feb 24 01:12:01     ""+U[1, 1, 4, 12, 32, 5.0, 5]"",
Feb 24 01:12:01     ""+U[3, 1, 2, 8, 31, 9.0, 3]"",
Feb 24 01:12:01     ""+U[7, 0, 1, 7, 7, 7.0, 2]""]
Feb 24 01:12:01 to contain exactly in any order:
Feb 24 01:12:01   [""+I[3, 1, 2, 8, 31, 10.0, 3]"",
Feb 24 01:12:01     ""+I[2, 1, 4, 14, 42, 7.0, 6]"",
Feb 24 01:12:01     ""+I[1, 1, 4, 12, 24, 6.0, 4]"",
Feb 24 01:12:01     ""+U[2, 1, 4, 14, 57, 8.0, 7]"",
Feb 24 01:12:01     ""+U[1, 1, 4, 12, 32, 6.0, 5]"",
Feb 24 01:12:01     ""+U[3, 1, 2, 8, 31, 9.0, 3]"",
Feb 24 01:12:01     ""+U[2, 1, 4, 14, 57, 7.0, 7]"",
Feb 24 01:12:01     ""+I[7, 0, 1, 7, 7, 7.0, 2]"",
Feb 24 01:12:01     ""+U[1, 1, 4, 12, 32, 5.0, 5]""]
Feb 24 01:12:01 elements not found:
Feb 24 01:12:01   [""+I[7, 0, 1, 7, 7, 7.0, 2]""]
Feb 24 01:12:01 and elements not expected:
Feb 24 01:12:01   [""+I[7, 0, 1, 7, 7, 7.0, 1]"", ""+U[7, 0, 1, 7, 7, 7.0, 2]""]
Feb 24 01:12:01 
Feb 24 01:12:01 	at org.apache.flink.table.planner.plan.nodes.exec.testutils.RestoreTestBase.testRestore(RestoreTestBase.java:313)
Feb 24 01:12:01 	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
[...]
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-33421,,,,,,FLINK-35012,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Jun 03 01:45:54 UTC 2024,,,,,,,,,,"0|z1nm1k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"26/Feb/24 07:14;mapohl;[~bvarghese] can you have a look at this? I assume it's related to the work you've done in FLINK-33421? Please correct me if I'm wrong.;;;","27/Feb/24 07:40;mapohl;https://github.com/apache/flink/actions/runs/8058552438/job/22011758865#step:10:11241;;;","04/Mar/24 07:46;mapohl;https://github.com/apache/flink/actions/runs/8127069864/job/22212009057#step:10:10308;;;","25/Mar/24 18:22;jhughes;From looking at this quickly, here are some notes:

First, there are at least two different test cases which are failing.  Both seem to be related to enabling mini.batch.

Second, I tried to fix this via `.testMaterializedData()`.  This approach (presently) fails since records are updated between between and after the restore.  We could extend the idea of `.testMaterializedData()` check only the records specified in `.consumedAfterRestore()`.;;;","04/Apr/24 16:11;rskraba;I just created FLINK-35012 which  might be related or a duplicate since it inherits from the same test base {{RestoreTestBase}}.  ;;;","21/May/24 14:26;rskraba;* 1.20 Java 8 / Test (module: table) [https://github.com/apache/flink/actions/runs/9144334458/job/25142198437#step:10:10702];;;","22/May/24 12:44;rskraba;* 1.19 Java 21 / Test (module: table) https://github.com/apache/flink/actions/runs/9184288072/job/25256618916#step:10:10748;;;","29/May/24 14:46;mapohl;* 1.20 (Java 8): https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=59935&view=logs&j=0c940707-2659-5648-cbe6-a1ad63045f0a&t=075c2716-8010-5565-fe08-3c4bb45824a4&l=11686;;;","03/Jun/24 01:44;Weijie Guo;1.20 test_cron_jdk21 table

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=60008&view=logs&j=26b84117-e436-5720-913e-3e280ce55cae&t=77cc7e77-39a0-5007-6d65-4137ac13a471&l=11513;;;","03/Jun/24 01:45;Weijie Guo;Hi [~bvarghese], Is there any progress about this?;;;",,,,,,,,,,,,,,,,,,,,,,,
Thrown root cause for  HandlerRequestException,FLINK-34512,13569797,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Won't Fix,masteryhx,masteryhx,masteryhx,26/Feb/24 07:09,28/Feb/24 02:18,04/Jun/24 20:40,28/Feb/24 02:18,,,,,,,,,,,,Runtime / REST,,,,0,pull-request-available,,,,"My Flink job only thrown below exception without the root cause:

 
{code:java}
org.apache.flink.runtime.rest.handler.HandlerRequestException: Cannot resolve path parameter (triggerid) from value ""4c729cc8-ccc1-80dc-6c8d-9d84d52cfe7b"". {code}
It's better for HandlerRequest to thrown the root cause of HandlerRequestException.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-26 07:09:06.0,,,,,,,,,,"0|z1nm1c:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flink 2.0: Deprecate legacy State&Checkpointing&Recovery options,FLINK-34511,13569796,13566461,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,zakelly,zakelly,26/Feb/24 07:01,26/Feb/24 07:01,04/Jun/24 20:40,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-26 07:01:29.0,,,,,,,,,,"0|z1nm14:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flink 2.0: Rename RestoreMode to RecoveryClaimMode,FLINK-34510,13569795,13566461,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,zakelly,zakelly,26/Feb/24 07:00,29/May/24 12:43,04/Jun/24 20:40,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed May 29 12:43:35 UTC 2024,,,,,,,,,,"0|z1nm0w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/May/24 06:06;spoon-lz;Hi [~zakelly] ,this issue has not started yet. Do we have to wait until the 1.20 release?;;;","29/May/24 12:43;zakelly;[~spoon-lz] Yes, we should wait until 1.20 release (when we can do something for flink 2.0);;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docs: Fix Debezium JSON/AVRO opts in examples ,FLINK-34509,13569661,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,,lorenzo.affetti,lorenzo.affetti,23/Feb/24 15:23,05/Mar/24 22:46,04/Jun/24 20:40,05/Mar/24 22:46,1.19.0,1.20.0,,,,,,1.20.0,,,,Documentation,,,,0,pull-request-available,,,,"Problem found here: [https://nightlies.apache.org/flink/flink-docs-master/docs/connectors/table/formats/debezium/#how-to-use-debezium-format.]

Here is the example provided:
{code:java}
CREATE TABLE topic_products (
  -- schema is totally the same to the MySQL ""products"" table
  id BIGINT,
  name STRING,
  description STRING,
  weight DECIMAL(10, 2)
) WITH (
 'connector' = 'kafka',
 'topic' = 'products_binlog',
 'properties.bootstrap.servers' = 'localhost:9092',
 'properties.group.id' = 'testGroup',
 -- using 'debezium-json' as the format to interpret Debezium JSON messages
 -- please use 'debezium-avro-confluent' if Debezium encodes messages in Avro format
 'format' = 'debezium-json'
) {code}
Actually, `debezium-json` would require `'debezium-json.schema-include' = 'true'` to work (as, by default, Debezium includes the schema. See [https://www.markhneedham.com/blog/2023/01/24/flink-sql-could-not-execute-sql-statement-corrupt-debezium-message/).]

On the other hand `debezium-avro` would require the URL of the Confluent schema registry: `'debezium-avro-confluent.url' = '[http://...:8081'.]

I propose to split the single example in 2 with the correct default options.",,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Mar 05 22:45:58 UTC 2024,,,,,,,,,,"0|z1nl74:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"05/Mar/24 22:45;jingge;master: 641f4f4d0d0156b84bdb9ba528b1dd96f7ae9d9c;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migrate S3-related ITCases and e2e tests to Minio ,FLINK-34508,13569645,13562450,Sub-task,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,m.orazow,mapohl,mapohl,23/Feb/24 13:08,08/May/24 20:37,04/Jun/24 20:40,,1.18.1,1.19.0,1.20.0,,,,,,,,,Build System / CI,,,,0,github-actions,pull-request-available,,,Anything that uses {{org.apache.flink.testutils.s3.S3TestCredentials}}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-34324,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Apr 18 05:45:01 UTC 2024,,,,,,,,,,"0|z1nl3k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"01/Mar/24 12:21;m.orazow;Hey [~mapohl], let me take this task also. Could you please assign it to me?;;;","16/Apr/24 02:48;m.orazow;Hey all,

I have add changes to remove the `IT_CASE_S3_*` variables. There is one issue I want to discuss.

There is an integration test case in `flink-yarn` module, it is `[YarnFileStateTestS3ITCase.java|https://github.com/apache/flink/blob/master/flink-yarn/src/test/java/org/apache/flink/yarn/YarnFileStageTestS3ITCase.java]`. This file also depends on the S3 variables. It also uses the S3 Native (s3n) in one of the tests, when run this test fails.

 

-However, it is not enabled in the CI. The `flink-yarn` module is not used in the tests (or I could not find). It is not listed on the [stage.sh|https://github.com/apache/flink/blob/master/tools/ci/stage.sh] file.-

It is enabled. But still none of two tests is run, from one of recent logs:
{code:java}
 Apr 16 02:17:12 02:17:12.837 [INFO] Running org.apache.flink.yarn.YarnFileStageTestS3ITCase
27911Apr 16 02:17:12 02:17:12.936 [INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.089 s -- in org.apache.flink.yarn.YarnFileStageTestS3ITCase{code}
 

The NativeS3Filesystem does not work with Minio, since it directly goes to the default `.amazonaws.` endpoint. The S3 native library is deprecated in the 3.3.4+ version of `hadoop-aws` library, but not used for yarn module for now.

 

I would suggest to remove the `s3n` test from the YarnFileStageTestS3ITCase test. What do you think?;;;","16/Apr/24 06:36;m.orazow;In the Azure Pipeline the YarnFileStageTestS3ITCase is skipped:
{code:java}
Apr 16 03:01:16 03:01:16.491 [INFO] Running org.apache.flink.yarn.YarnFileStageTestS3ITCase
Apr 16 03:01:24 03:01:24.104 [WARNING] Tests run: 8, Failures: 0, Errors: 0, Skipped: 8, Time elapsed: 7.611 s -- in org.apache.flink.yarn.YarnFileStageTestS3ITCase {code}
 ;;;","16/Apr/24 06:42;m.orazow;Hey [~mapohl],

On the GitHub CI, the S3 `IT_CASE_S3_*` parameters are not set? They seem to be empty, and tests depending on it are skipped.


For secrets they should have been displayed with `*****`:
{code:java}
Run PROFILE=""-Dinclude_hadoop_aws"" PROFILE=""$PROFILE -Pgithub-actions"" ./tools/azure-pipelines/uploading_watchdog.sh \
2  PROFILE=""-Dinclude_hadoop_aws"" PROFILE=""$PROFILE -Pgithub-actions"" ./tools/azure-pipelines/uploading_watchdog.sh \
3      ./tools/ci/test_controller.sh connect
4  shell: sh -e {0}
5  env:
6    MOUNTED_WORKING_DIR: /__w/flink/flink
7    CONTAINER_LOCAL_WORKING_DIR: /root/flink
8    FLINK_ARTIFACT_DIR: /root/artifact-directory
9    FLINK_ARTIFACT_FILENAME: flink_artifacts.tar.gz
10    MAVEN_REPO_FOLDER: /root/.m2/repository
11    MAVEN_ARGS: -Dmaven.repo.local=/root/.m2/repository
12    DOCKER_IMAGES_CACHE_FOLDER: /root/.docker-cache
13    GHA_JOB_TIMEOUT: 240
14    GHA_PIPELINE_START_TIME: 2024-04-16 01:46:07+00:00
15    JAVA_HOME: /usr/lib/jvm/java-8-openjdk-amd64
16    PATH: /usr/lib/jvm/java-8-openjdk-amd64/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
17    IT_CASE_S3_BUCKET: 
18    IT_CASE_S3_ACCESS_KEY: 
19    IT_CASE_S3_SECRET_KEY: 
20[INFO] GitHub Actions environment detected: ./tools/azure-pipelines/uploading_watchdog.sh will rely on GHA-specific environment variables.
21[INFO] GitHub Actions environment detected: ./tools/azure-pipelines/uploading_watchdog.sh will export the variables in the GHA-specific way. {code}


Please let me know if we need to create a new issue to set them and enable tests. This issue is about removing them :) Maybe we can discuss how we want to proceed.

I would vote to remove the `s3n` from the Yarn integration test and use Minio for all of them;;;","18/Apr/24 05:45;m.orazow;The [YarnFileStageTestS3ITCase|https://github.com/apache/flink/blob/master/flink-yarn/src/test/java/org/apache/flink/yarn/YarnFileStageTestS3ITCase.java#L131] test is skipped because of the assumption UUID.randomUUID() path does not exist.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSON functions have wrong operand checker,FLINK-34507,13569633,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,dwysakowicz,dwysakowicz,23/Feb/24 11:14,23/Feb/24 11:14,04/Jun/24 20:40,,1.18.1,,,,,,,,,,,Table SQL / Planner,,,,0,,,,,"I believe that all JSON functions (`JSON_VALUE`, `JSON_QUERY`, ...) have wrong operand checker.

As far as I can tell the first argument (the JSON) should be a `STRING` argument. That's what all other systems do (some accept clob/blob additionally e.g. ORACLE).

We via Calcite accept `ANY` type there, which I believe is wrong: https://github.com/apache/calcite/blob/c49792f9c72159571f898c5fca1e26cba9870b07/core/src/main/java/org/apache/calcite/sql/fun/SqlJsonValueFunction.java#L61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-23 11:14:53.0,,,,,,,,,,"0|z1nl0w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do not copy ""file://"" schemed artifact in standalone application modes",FLINK-34506,13569625,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,ferenc-csaky,ferenc-csaky,23/Feb/24 09:57,23/Feb/24 09:57,04/Jun/24 20:40,,1.19.0,,,,,,,,,,,Client / Job Submission,,,,0,,,,,"In standalone application mode, if an artifact is passed via a path witohut prefix, the file will be copied to `user.artifacts.base-dir`, although it should not be, as it can accessable locally.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-23 09:57:38.0,,,,,,,,,,"0|z1nkz4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migrate WindowGroupReorderRule,FLINK-34505,13569615,13565339,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,jackylau,jackylau,jackylau,23/Feb/24 09:26,08/Apr/24 09:27,04/Jun/24 20:40,,1.20.0,,,,,,,1.20.0,,,,Table SQL / Planner,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-23 09:26:50.0,,,,,,,,,,"0|z1nkww:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoid the parallelism adjustment when the upstream shuffle type doesn't have keyBy,FLINK-34504,13569610,,Improvement,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,fanrui,fanrui,fanrui,23/Feb/24 08:17,26/Feb/24 13:53,04/Jun/24 20:40,26/Feb/24 13:53,,,,,,,,kubernetes-operator-1.8.0,,,,Autoscaler,,,,0,pull-request-available,,,,"JobVertexScaler#scale has a optimization: Try to adjust the parallelism such that it divides the number of key groups without a remainder =>  data is evenly spread across subtasks.

 

It's only useful when the upstream shuffle type has keyBy. We should avoid this optimization when the upstream shuffle type doesn't have keyBy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Feb 26 13:52:56 UTC 2024,,,,,,,,,,"0|z1nkvs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"26/Feb/24 13:52;fanrui;Merged to main(1.8.0) via: f4b04ec5f47358829ee279806d2f74b1f1641ee2;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
