Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Outward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Completes),Inward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Fix incorrect path in tpcds-tool README,FLINK-31513,13529110,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,GoTT,GoTT,GoTT,19/Mar/23 08:08,22/Mar/23 10:24,04/Jun/24 20:41,22/Mar/23 10:23,1.18.0,,,,,,,,,,,1.18.0,,,,,,,,0,pull-request-available,,,,"when run the flink-tpcds-test, find a path in readme need to update",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19/Mar/23 08:07;GoTT;截屏2023-03-19 15.58.45.png;https://issues.apache.org/jira/secure/attachment/13056484/%E6%88%AA%E5%B1%8F2023-03-19+15.58.45.png",,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed Mar 22 10:23:53 UTC 2023,,,,,,,,,,"0|z1gopc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"19/Mar/23 08:11;GoTT;https://github.com/apache/flink/pull/22212;;;","22/Mar/23 10:23;Weijie Guo;master(1.18) via 18869f6dfd04abd017cf110932c48a33e91c6bb5.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move SqlAlterView conversion logic to SqlAlterViewConverter,FLINK-31512,13529106,13528594,Sub-task,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,jark,jark,jark,19/Mar/23 06:59,19/Mar/23 07:00,04/Jun/24 20:41,,,,,,,,,,,,,,,,,Table SQL / Planner,,,,0,,,,,"Introduce {{SqlAlterViewConverter}} and move the conversion logic of {{SqlAlterView}} -> {{AlterViewOperation}} to it.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-03-19 06:59:40.0,,,,,,,,,,"0|z1goog:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Translate documentation sql_functions_zh.yml  to the latest version,FLINK-31511,13529074,,Improvement,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Implemented,ruanhang1993,ruanhang1993,ruanhang1993,18/Mar/23 12:37,26/Jan/24 09:55,04/Jun/24 20:41,26/Jan/24 09:55,1.18.1,,,,,,,,,,,1.19.0,,,,Documentation,Table SQL / API,,,0,pull-request-available,stale-assigned,,,"Some content of these functions in sql_functions_zh.yml is outdated.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Jan 26 09:55:37 UTC 2024,,,,,,,,,,"0|z1gohc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"18/Mar/23 12:37;ruanhang1993;Hi, all, 

I would like to help update this document as some content is out dated.;;;","12/Aug/23 10:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;","26/Jan/24 09:55;leonard;Resolved via master: 36feab0fb6db9ba2e284352a19db8925cb6e8874;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use getMemorySize instead of getMemory,FLINK-31510,13529036,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,slfan1989,slfan1989,slfan1989,18/Mar/23 01:14,11/Apr/23 06:02,04/Jun/24 20:41,11/Apr/23 06:02,1.18.0,,,,,,,,,,,1.18.0,,,,Deployment / YARN,,,,0,pull-request-available,,,,"In YARN-4844, use getMemorySize instead of getMemory, because using int to represent memory may exceed the bounds in some cases and produce negative numbers.
This change was merged in HADOOP-2.8.0, we should use getMemorySize instead of getMemory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Apr 11 06:02:12 UTC 2023,,,,,,,,,,"0|z1go8w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"20/Mar/23 03:39;taoran;Hi. [~slfan1989] because the memory unit you explained is MB. so we can use int, why must long ?;;;","20/Mar/23 03:43;slfan1989;[~lemonjing] we use int32 for memory now, if a cluster has 10k nodes, each node has 210G memory, we will get a negative total cluster memory.

 ;;;","20/Mar/23 10:01;taoran;[~slfan1989] thanks for explanations. got it.;;;","11/Apr/23 06:02;Weijie Guo;master(1.18) via 0c4db2dd577fdfca1a12c115948bf67931d0bcde.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REST Service missing sessionAffinity causes job run failure with HA cluster,FLINK-31509,13529028,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,eleroy,eleroy,17/Mar/23 22:35,31/Aug/23 14:17,04/Jun/24 20:41,,,,,,,,,,,,,,,,,Deployment / Kubernetes,,,,0,,,,,"When using a Session Cluster with multiple Job Managers, the -rest service load balances the API requests to all job managers, not just the master.

When submitting a FlinkSessionJob, I often see errors like: `jar <jar_id>.jar was not found`, because the submission is done in 2 steps: 
 * upload the jar with `v1/jars/upload` which returns the `jar_id`
 * run the job with `v1/jars/<jar_id>/run`

Unfortunately, with the Service load balacing between nodes, it is often the case that the jar is uploaded on a JM, and the run request happens on another, where the jar doesn't exist.

A simple fix is to append the `sessionAffinity: ClientIP` on the -rest service, where the API calls from a given originating IP will always be routed to the same node.

This issue is especially problematic with Beam, where the Beam job submission does not retry to run the job with the jar_id, and will fail, causing it to re-upload a new jar and retrying, until it is lucky enough to get the 2 calls in a row routed to the same node.

 ","Flink 1.15 on Flink Operator 1.4.0 on Kubernetes 1.25.4, (optionally with Beam 2.46.0)

but the issue was observed on Flink 1.14, 1.15 and 1.16 and on Flink Operator 1.2, 1.3, 1.3.1, 1.4.0

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Aug 31 14:17:37 UTC 2023,,,,,,,,,,"0|z1go74:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"20/Mar/23 12:38;bgeng777;I believe that it should be a bug to route API requests to all JM instead of the master. 
Besides, it should be ok to use K8s HA with one JM is launched as when this JM crashes, a new one will created from the HA data stored in config map. Multiple JM may reduce the recovery time but not so necessary.;;;","20/Mar/23 15:50;eleroy;[~bgeng777] 
I agree ideally the Service should only targets the master, however that is not trivial in kubernetes. The operator would need to scan for the master periodically, and update a label on the JM pods for the Service to target only the one labeled master.

The sessionAffinity solution is simple to implement (literally, it's a 1-liner in the Service definition) and works fine for the purpose.;;;","31/Aug/23 06:38;gyfora;I think this is a problem in the Flink Kubernetes integration right (not really in the operator)?;;;","31/Aug/23 13:57;eleroy;[~gyfora] It is a k8s integration issue, but it is effectively an operator issue since it is the operator that deploys these resources from the cluster definition manifest.;;;","31/Aug/23 14:17;gyfora;I will update the component [~eleroy] . Operator issues are the ones caused by the operator logic and can be fixed in the operator repo. ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIP-304: Pluggable failure handling for Apache Flink,FLINK-31508,13529017,,New Feature,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,pgaref,pgaref,pgaref,17/Mar/23 19:25,14/Mar/24 07:36,04/Jun/24 20:41,,,,,,,,,,,,,1.20.0,,,,Runtime / Coordination,Runtime / REST,,,0,,,,,"This is an umbrella ticket for [FLIP-304|https://cwiki.apache.org/confluence/display/FLINK/FLIP-304%3A+Pluggable+Failure+Enrichers]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-03-17 19:25:49.0,,,,,,,,,,"0|z1go4o:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move execution logic of ShowOperation out from TableEnvironmentImpl,FLINK-31507,13528993,13527609,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,jark,jark,jark,17/Mar/23 15:56,21/Mar/23 12:35,04/Jun/24 20:41,21/Mar/23 12:35,,,,,,,,,,,,1.18.0,,,,Table SQL / Planner,,,,0,pull-request-available,,,,This should implement {{ExecutableOperation}} for all the {{ShowOperation}}s to move the execution logic out from {{TableEnvironmentImpl#executeInternal()}}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Mar 21 12:35:00 UTC 2023,,,,,,,,,,"0|z1gnzc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"19/Mar/23 09:45;aitozi;Hello, [~jark] May I help to do this refactor ?;;;","19/Mar/23 10:16;jark;[~aitozi] I just finished the migration. ;;;","21/Mar/23 12:35;jark;Fixed in master: 96b17a63c51d39a83f24945f4ae15a1280f4f5a8 and 452986dd05b193d492e0fc7b817f61b9695871d2;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move execution logic of AlterOperation out from TableEnvironmentImpl,FLINK-31506,13528992,13527609,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,Sergey Nuyanzin,jark,jark,17/Mar/23 15:53,19/Mar/23 23:13,04/Jun/24 20:41,19/Mar/23 23:13,,,,,,,,,,,,1.18.0,,,,Table SQL / Planner,,,,0,pull-request-available,,,,This should implement {{ExecutableOperation}} for all the {{AlterOperation}}s to move the execution logic out from {{TableEnvironmentImpl#executeInternal()}}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Mar 19 23:13:28 UTC 2023,,,,,,,,,,"0|z1gnz4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"19/Mar/23 23:13;Sergey Nuyanzin;Merged to master at 1d97e443032335b0d8b93cc6850d0b4d1308a568;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move execution logic of DropOperation out from TableEnvironmentImpl,FLINK-31505,13528991,13527609,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,Sergey Nuyanzin,jark,jark,17/Mar/23 15:53,19/Mar/23 07:33,04/Jun/24 20:41,19/Mar/23 07:33,,,,,,,,,,,,1.18.0,,,,Table SQL / Planner,,,,0,pull-request-available,,,,This should implement {{ExecutableOperation}} for all the {{DropOperation}}s to move the execution logic out from {{TableEnvironmentImpl#executeInternal()}}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Mar 19 07:33:38 UTC 2023,,,,,,,,,,"0|z1gnyw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"19/Mar/23 07:33;jark;Fixed in master: 06be368a3f1e821bdb1063b828009748f2f4239c;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move execution logic of CreateOperation out from TableEnvironmentImpl,FLINK-31504,13528990,13527609,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,jark,jark,jark,17/Mar/23 15:52,19/Mar/23 19:16,04/Jun/24 20:41,19/Mar/23 19:16,,,,,,,,,,,,1.18.0,,,,Table SQL / Planner,,,,0,pull-request-available,,,,This should implement {{ExecutableOperation}} for all the {{CreateOperation}}s to move the execution logic out from {{TableEnvironmentImpl#executeInternal()}}.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Mar 19 19:16:10 UTC 2023,,,,,,,,,,"0|z1gnyo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"19/Mar/23 19:16;Sergey Nuyanzin;Merged in master: 3e6a831eb30883790aaf37c2f49dfcb5e1b5e8ae;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
