Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Outward issue link (Completes),Outward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Supercedes),Outward issue link (Supercedes),Inward issue link (Testing),Inward issue link (Testing),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Update Kafka version to 3.2.3,FLINK-29513,13484650,,Technical Debt,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,martijnvisser,martijnvisser,martijnvisser,05/Oct/22 19:53,10/Oct/22 19:37,04/Jun/24 20:41,10/Oct/22 19:37,,,,,,,,1.16.0,1.17.0,,,Connectors / Kafka,,,,0,pull-request-available,,,,Kafka 3.2.3 contains certain security fixes (see https://downloads.apache.org/kafka/3.2.3/RELEASE_NOTES.html). We should upgrade the dependency in Flink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Oct 10 19:37:57 UTC 2022,,,,,,,,,,"0|z1936g:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"06/Oct/22 12:17;martijnvisser;Fixed in master: a2230639859342a19e371a596f079efe28cbeedd;;;","06/Oct/22 19:57;martijnvisser;Re-opened to patch also 1.16;;;","10/Oct/22 19:37;martijnvisser;Also fixed in release-1.16 via 90fba507a824eab2075aa42b0a82cc0b69dc44de;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Align SubtaskCommittableManager checkpointId with CheckpointCommittableManagerImpl checkpointId during recovery,FLINK-29512,13484635,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Fixed,fpaul,fpaul,fpaul,05/Oct/22 15:49,20/Oct/22 02:36,04/Jun/24 20:41,14/Oct/22 13:40,1.15.1,1.16.0,1.17.0,,,,,1.15.3,1.16.0,1.17.0,,Connectors / Common,,,,0,pull-request-available,,,,"Similar to the issue described in https://issues.apache.org/jira/browse/FLINK-29509 during the recovery of committables, the subtaskCommittables checkpointId is set to always 1 [https://github.com/apache/flink/blob/9152af41c2d401e5eacddee1bb10d1b6bea6c61a/flink-streaming-java/src/main/java/org/apache/flink/streaming/runtime/operators/sink/committables/CommittableCollectorSerializer.java#L193] while the holding CheckpointCommittableManager is initialized with the checkpointId that is written into state [https://github.com/apache/flink/blob/9152af41c2d401e5eacddee1bb10d1b6bea6c61a/flink-streaming-java/src/main/java/org/apache/flink/streaming/runtime/operators/sink/committables/CommittableCollectorSerializer.java#L155 .|https://github.com/apache/flink/blob/9152af41c2d401e5eacddee1bb10d1b6bea6c61a/flink-streaming-java/src/main/java/org/apache/flink/streaming/runtime/operators/sink/committables/CommittableCollectorSerializer.java#L155.]

 

This leads to that during a recovery, the post-commit topology will receive a committable summary with the recovered checkpoint id and multiple `CommittableWithLinage`s with the reset checkpointId causing orphaned `CommittableWithLinages` without a `CommittableSummary` failing the job.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-29459,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Oct 14 13:39:41 UTC 2022,,,,,,,,,,"0|z19334:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"14/Oct/22 13:39;fpaul;Merged into: 

 

master: d03c334b7ac954e70877a5bdb7b50cf54b50624c

release-1.16: 1bef1aeb6abd4edda0e178a6a5da7f6dc6c3b074

release-1.15: 126ae4df9ef8bab98a53433ef39c698cf8f04c60;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort properties/schemas in OpenAPI spec,FLINK-29511,13484634,,Technical Debt,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chesnay,chesnay,chesnay,05/Oct/22 15:41,06/Oct/22 16:02,04/Jun/24 20:41,06/Oct/22 16:02,,,,,,,,1.17.0,,,,Documentation,Runtime / REST,,,0,pull-request-available,,,,"The properties/schema order is currently based on whatever order they were looked up, which varies as the spec is being extended.
Sort them by name to prevent this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Oct 06 16:02:15 UTC 2022,,,,,,,,,,"0|z1932w:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"06/Oct/22 16:02;chesnay;master:
c8fb99beeccd81f7b2ebfdc7ce178fcc04d100a1
fa8b1232d8eaee0679b6fe160f66db73cf5a4af2;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add NoticeFileChecker tests,FLINK-29510,13484613,,Technical Debt,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chesnay,chesnay,chesnay,05/Oct/22 13:14,12/Oct/22 09:51,04/Jun/24 20:41,07/Oct/22 09:21,,,,,,,,1.16.0,,,,Build System,Tests,,,0,pull-request-available,,,,The NoticeFileChecker is too important to not be covered by tests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Oct 07 09:21:46 UTC 2022,,,,,,,,,,"0|z192y8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/Oct/22 09:21;chesnay;master:
40f0540a3fa7892e18d897eb35cbdbd091d4fe19..42b00efdc7c78aa3f01a6e0f6f3cf0fdfd093582
1.16: 
a76d8b8b5e6d39f08a0eb4f9e0d809d04f160645..8318717a3eb53f47bbf3222093224618281c083e;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set correct subtaskId during recovery of committables,FLINK-29509,13484603,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Fixed,KristoffSC,fpaul,fpaul,05/Oct/22 12:29,20/Oct/22 02:36,04/Jun/24 20:41,13/Oct/22 06:58,1.15.2,1.16.0,1.17.0,,,,,1.15.3,1.16.0,1.17.0,,Connectors / Common,,,,0,pull-request-available,,,,"When we recover the `CheckpointCommittableManager` we ignore the subtaskId it is recovered on. [https://github.com/apache/flink/blob/d191bda7e63a2c12416cba56090e5cd75426079b/flink-streaming-java/src/main/java/org/apache/flink/streaming/runtime/operators/sink/committables/CheckpointCommittableManagerImpl.java#L58]

This becomes a problem when a sink uses a post-commit topology because multiple committer operators might forward committable summaries coming from the same subtaskId.

 

It should be possible to use the subtaskId already present in the `CommittableCollector` when creating the `CheckpointCommittableManager`s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-29459,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Oct 13 06:58:29 UTC 2022,,,,,,,,,,"0|z192w0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"06/Oct/22 13:21;KristoffSC;Hi,
I would like to work on this thicket.

Can someone assign it to me? It seems I can't do that.;;;","07/Oct/22 06:20;KristoffSC;PR ready for review :)
[https://github.com/apache/flink/pull/20979];;;","13/Oct/22 06:58;fpaul;Merge into

master: 7a509c46e45b9a91f2b7d01f13afcdef266b1faf

release-1.16: d51389dc33af21038c982b733b86af8bbb736d19

release-1.15: 6b4882791dd0fd1b0df952ed7712ae7bd68adf36;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some NOTICE files are not checked for correctness,FLINK-29508,13484592,,Technical Debt,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chesnay,chesnay,chesnay,05/Oct/22 11:58,12/Oct/22 09:50,04/Jun/24 20:41,12/Oct/22 09:50,1.16.0,,,,,,,1.16.0,,,,Build System,,,,0,pull-request-available,,,,"We have 3 modules that are not being deployed (and thus auto-excluded since FLINK-29301) which are still relevant for production though.

We should amend the checker to take into account whether the non-deployed module is bundled by another deployed module.",,,,,,,,,,,,,,,,,,,,,,,,,FLINK-29301,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed Oct 12 09:50:48 UTC 2022,,,,,,,,,,"0|z192tk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"12/Oct/22 09:50;chesnay;master: 01d7b37f06b3d6da178c214335d9801db76f6383
1.16: d269e22b30c0758e905ebc3262c4463949df54e6;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make e2e tests independent of the current directory,FLINK-29507,13484558,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,gaborgsomogyi,gaborgsomogyi,gaborgsomogyi,05/Oct/22 08:12,09/Oct/22 15:18,04/Jun/24 20:41,09/Oct/22 15:18,kubernetes-operator-1.3.0,,,,,,,,,,,Kubernetes Operator,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Oct 09 15:18:00 UTC 2022,,,,,,,,,,"0|z192m0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"09/Oct/22 15:18;gyfora;merged to main 39a275f4f4c306061d37991644f81e4625737e93;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParquetInputFormatFactory fails to create format on Flink 1.14,FLINK-29506,13484545,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,qingyue,qingyue,qingyue,05/Oct/22 07:19,08/Oct/22 02:38,04/Jun/24 20:41,08/Oct/22 02:38,table-store-0.3.0,,,,,,,table-store-0.3.0,,,,Table Store,,,,0,pull-request-available,,,,"The current way to instantiate format has issues. See
[https://github.com/apache/flink-table-store/blob/master/flink-table-store-format/src/main/java/org/apache/flink/table/store/format/parquet/ParquetInputFormatFactory.java#L36]

ParquetColumnarRowInputFormat#createPartitionedFormat only differs in arguments for Flink 1.14 and Flink 1.15. It'll direct throw IllegalArgumentException when using Flink1.14.

!image-2022-10-05-15-19-25-641.png|width=617,height=375!

 

!image-2022-10-05-15-20-19-422.png|width=617,height=390!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-27207,FLINK-29149,,"05/Oct/22 07:19;qingyue;image-2022-10-05-15-19-25-641.png;https://issues.apache.org/jira/secure/attachment/13050089/image-2022-10-05-15-19-25-641.png","05/Oct/22 07:20;qingyue;image-2022-10-05-15-20-19-422.png;https://issues.apache.org/jira/secure/attachment/13050090/image-2022-10-05-15-20-19-422.png",,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sat Oct 08 02:38:55 UTC 2022,,,,,,,,,,"0|z192j4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"08/Oct/22 02:38;lzljs3620320;master: 09827774e2f435de3133ced33c61dcf1e6ceae0a;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[OpenAPI] Need `operationId` on certain operations,FLINK-29505,13484526,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Duplicate,,tigerinus,tigerinus,05/Oct/22 01:32,05/Oct/22 08:44,04/Jun/24 20:41,05/Oct/22 08:44,1.15.2,,,,,,,,,,,Runtime / REST,,,,0,openapi,,,,"Install nodejs and run

$ npx --yes autorest --input-file=https://nightlies.apache.org/flink/flink-docs-release-1.15/generated/rest_v1_dispatcher.yml --typescript --output-folder=. 

 

It returns with error

!image-2022-10-04-21-32-28-903.png!

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-27819,,,,,"05/Oct/22 01:32;tigerinus;image-2022-10-04-21-32-28-903.png;https://issues.apache.org/jira/secure/attachment/13050079/image-2022-10-04-21-32-28-903.png",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,yaml,Wed Oct 05 08:44:43 UTC 2022,,,,,,,,,,"0|z192ew:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"05/Oct/22 08:44;chesnay;Operation IDs will be available in 1.16.0.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jar upload spec should define a schema,FLINK-29504,13484525,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chesnay,tigerinus,tigerinus,05/Oct/22 01:28,20/Oct/22 02:34,04/Jun/24 20:41,11/Oct/22 11:08,1.15.2,,,,,,,1.15.3,1.16.0,1.17.0,,Runtime / REST,,,,0,openapi,pull-request-available,,,"Install nodejs and run

{{$ npx --yes @openapitools/openapi-generator-cli generate -i [https://nightlies.apache.org/flink/flink-docs-release-1.15/generated/rest_v1_dispatcher.yml] -g typescript-axios -o .}}

 

Then it outputs error 

 

{{Caused by: java.lang.RuntimeException: Request body cannot be null. Possible cause: missing schema in body parameter (OAS v2): class RequestBody {}}
{{    description: null}}
{{    content: class Content {}}
{{        {application/x-java-archive=class MediaType {}}
{{            schema: null}}
{{            examples: null}}
{{            example: null}}
{{            encoding: null}}
{\{        }}}}
{\{    }}}
{{    required: true}}
{{}}}

 

This is because in the YAML:

{{}}{{ requestBody:}}

{{  content:}}

{{{}    application/x-java-archive: {{}}}}

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,yaml,Tue Oct 11 11:08:03 UTC 2022,,,,,,,,,,"0|z192eo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"05/Oct/22 08:54;chesnay;Should be straight forward to fix by adding this in {{OpenApiSpecGenerator#injectFileUploadRequest}}:

{code:java}
schema:
        type: string
        format: binary
{code}



;;;","10/Oct/22 16:24;tigerinus;Verified the issue no longer repros, with the yaml file from https://github.com/apache/flink/pull/20959/files.

 

I could build a JS package out of generated TypeScript code successfully.

 

Thanks.;;;","11/Oct/22 11:08;chesnay;master: e188cb2d66cc68e5eb822c5cca4fe0ee85173157
1.16: 141eeffb6b2c05d7c139c94273c2e5c468b44ec9
1.15: 383d451595f364196010351205f2ee8fd7f073c7;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
