Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Inward issue link (Blocker),Inward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Inward issue link (Container),Outward issue link (Container),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Incorporates),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Required),Inward issue link (Required),Outward issue link (Required),Outward issue link (Supercedes),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Language),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Flink Table API CSV streaming sink throws SerializedThrowable exception,FLINK-28513,13471197,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Fixed,samrat007,jaya.ananthram,jaya.ananthram,12/Jul/22 10:34,02/Jan/24 11:22,04/Jun/24 20:42,04/Sep/23 11:02,1.15.1,,,,,1.17.2,1.18.0,1.19.0,FileSystems,Table SQL / API,,,,,,1,pull-request-available,stale-assigned,,,"Table API S3 streaming sink (CSV format) throws the following exception,


{code:java}
Caused by: org.apache.flink.util.SerializedThrowable: S3RecoverableFsDataOutputStream cannot sync state to S3. Use persist() to create a persistent recoverable intermediate point.
at org.apache.flink.fs.s3.common.utils.RefCountedBufferingFileStream.sync(RefCountedBufferingFileStream.java:111) ~[flink-s3-fs-hadoop-1.15.1.jar:1.15.1]
at org.apache.flink.fs.s3.common.writer.S3RecoverableFsDataOutputStream.sync(S3RecoverableFsDataOutputStream.java:129) ~[flink-s3-fs-hadoop-1.15.1.jar:1.15.1]
at org.apache.flink.formats.csv.CsvBulkWriter.finish(CsvBulkWriter.java:110) ~[flink-csv-1.15.1.jar:1.15.1]
at org.apache.flink.connector.file.table.FileSystemTableSink$ProjectionBulkFactory$1.finish(FileSystemTableSink.java:642) ~[flink-connector-files-1.15.1.jar:1.15.1]
at org.apache.flink.streaming.api.functions.sink.filesystem.BulkPartWriter.closeForCommit(BulkPartWriter.java:64) ~[flink-file-sink-common-1.15.1.jar:1.15.1]
at org.apache.flink.streaming.api.functions.sink.filesystem.Bucket.closePartFile(Bucket.java:263) ~[flink-streaming-java-1.15.1.jar:1.15.1]
at org.apache.flink.streaming.api.functions.sink.filesystem.Bucket.prepareBucketForCheckpointing(Bucket.java:305) ~[flink-streaming-java-1.15.1.jar:1.15.1]
at org.apache.flink.streaming.api.functions.sink.filesystem.Bucket.onReceptionOfCheckpoint(Bucket.java:277) ~[flink-streaming-java-1.15.1.jar:1.15.1]
at org.apache.flink.streaming.api.functions.sink.filesystem.Buckets.snapshotActiveBuckets(Buckets.java:270) ~[flink-streaming-java-1.15.1.jar:1.15.1]
at org.apache.flink.streaming.api.functions.sink.filesystem.Buckets.snapshotState(Buckets.java:261) ~[flink-streaming-java-1.15.1.jar:1.15.1]
at org.apache.flink.streaming.api.functions.sink.filesystem.StreamingFileSinkHelper.snapshotState(StreamingFileSinkHelper.java:87) ~[flink-streaming-java-1.15.1.jar:1.15.1]
at org.apache.flink.connector.file.table.stream.AbstractStreamingWriter.snapshotState(AbstractStreamingWriter.java:129) ~[flink-connector-files-1.15.1.jar:1.15.1]
{code}

In my table config, I am trying to read from Kafka and write to S3 (s3a) using table API and checkpoint configuration using s3p (presto). Even I tried with a simple datagen example instead of Kafka with local file system as checkpointing (`file:///` instead of `s3p://`) and I am getting the same issue. Exactly it is fails when the code triggers the checkpoint.

Some related slack conversation and SO conversation [here|https://apache-flink.slack.com/archives/C03G7LJTS2G/p1657609776339389], [here|https://stackoverflow.com/questions/62138635/flink-streaming-compression-not-working-using-amazon-aws-s3-connector-streaming] and [here|https://stackoverflow.com/questions/72943730/flink-table-api-streaming-s3-sink-throws-serializedthrowable-exception]

Since there is no work around for S3 table API streaming sink, I am marking this as critical. if this is not a relevant severity, feel free to reduce the priority. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-33536,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Tue Sep 05 11:02:54 UTC 2023,,,,,,,,,,"0|z16spk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"05/Dec/22 08:50;dannycranmer;Assigning to [~samrat007] as discussed offline;;;","03/Sep/23 22:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;","04/Sep/23 10:58;liangtl; merged commit [{{e921489}}|https://github.com/apache/flink/commit/e921489279ca70b179521ec4619514725b061491] into apache:master;;;","04/Sep/23 11:03;hong;[~samrat007]  Could we backport this bugfix to Flink 1.17 and 1.18 as well?;;;","04/Sep/23 11:38;samrat007;Hi [~liangtl] 

backport for 1.17 :- [https://github.com/apache/flink/pull/23351]
backport for 1.18 :-  [https://github.com/apache/flink/pull/23352]

Please review whenever time ;;;","04/Sep/23 11:48;samrat007;I dont have access to update the fix version . Please help updating the `Fix Version/s` for this issue;;;","04/Sep/23 15:16;hong;merged commit [{{d06a297}}|https://github.com/apache/flink/commit/d06a297422fd4884aa21655fdf1f1bce94cc3a8a] into apache:release-1.17;;;","04/Sep/23 15:16;hong;{quote}I dont have access to update the fix version . Please help updating the `Fix Version/s` for this issue
{quote}
Updated;;;","05/Sep/23 11:02;hong;merged commit [{{2437cf5}}|https://github.com/apache/flink/commit/2437cf568785a05ece70fde9f917637731740e46] into apache:release-1.18;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Select HashBasedDataBuffer and SortBasedDataBuffer dynamically based on the number of network buffers can be allocated for SortMergeResultPartition,FLINK-28512,13471196,13469906,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,tanyuxin,kevin.cyj,kevin.cyj,12/Jul/22 10:29,21/Jul/22 10:16,04/Jun/24 20:42,21/Jul/22 10:16,,,,,,1.16.0,,,,,,,,,,0,pull-request-available,,,,"Currently, the SortMergeResultPartition select to use HashBasedDataBuffer and SortBasedDataBuffer based on the number of required buffers per result partition decided by 'taskmanager.network.sort-shuffle.min-buffers'. If the configured value is large enough, HashBasedDataBuffer will be used, otherwise, SortBasedDataBuffer will be used. Usually, the HashBasedDataBuffer has better performance. However, it is not easy to tune this value, because if a user tries to increase it for better performance, he/she is easy to encounter the 'Insufficient number of network buffers' error. This patch improves this case by selecting HashBasedDataBuffer and SortBasedDataBuffer dynamically based on the number of network buffers can be allocated. More specifically, if there is enough buffers at runtime, HashBasedDataBuffer will be used, otherwise, SortBasedDataBuffer will be used. To achieve better performance, the user only need to increase total amount of network memory per task manager.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Thu Jul 21 10:16:09 UTC 2022,,,,,,,,,,"0|z16spc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"21/Jul/22 10:16;kevin.cyj;Merged into master via 5f0c4ab91a8ffc80ff04d0324934b2993fc5b533;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve Spark dependencies and document,FLINK-28511,13471191,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,lzljs3620320,lzljs3620320,lzljs3620320,12/Jul/22 09:54,13/Jul/22 07:01,04/Jun/24 20:42,13/Jul/22 07:01,,,,,,table-store-0.2.0,,,Table Store,,,,,,,0,pull-request-available,,,,"- Include Hive metastore dependency in Spark bundled jar.
- Improve document of Spark.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Wed Jul 13 07:01:57 UTC 2022,,,,,,,,,,"0|z16so8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"13/Jul/22 07:01;lzljs3620320;master: c11725774f9847ccf4b867d08d8620b3879cbd43;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support using new KafkaSink in PyFlink,FLINK-28510,13471188,,New Feature,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Done,Juntao Hu,Juntao Hu,Juntao Hu,12/Jul/22 09:41,17/Oct/22 01:49,04/Jun/24 20:42,27/Jul/22 10:55,1.15.1,,,,,1.16.0,,,API / Python,,,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-26385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Wed Jul 27 10:55:22 UTC 2022,,,,,,,,,,"0|z16snk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Jul/22 10:55;hxbks2ks;Merged into master via c796a78671c8f201be4a298c7a7b934c70ea4398;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support REVERSE built-in function in Table API,FLINK-28509,13471186,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,ana4,ana4,ana4,12/Jul/22 09:31,18/Jul/22 05:43,04/Jun/24 20:42,18/Jul/22 05:43,,,,,,1.16.0,,,API / Python,Table SQL / API,,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,FLINK-28071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Mon Jul 18 05:43:22 UTC 2022,,,,,,,,,,"0|z16sn4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"18/Jul/22 05:43;dianfu;Merged to master via e1d93566365e6fe6a8f780c88fc73df2b4466c29;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support SPLIT_INDEX and STR_TO_MAP built-in function in Table API,FLINK-28508,13471185,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,ana4,ana4,ana4,12/Jul/22 09:30,18/Jul/22 05:43,04/Jun/24 20:42,15/Jul/22 03:31,,,,,,1.16.0,,,API / Python,Table SQL / API,,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,FLINK-28071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Mon Jul 18 05:43:45 UTC 2022,,,,,,,,,,"0|z16smw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"18/Jul/22 05:43;dianfu;Merged to master via e85c3038d901db3696112c1add3babcce0b0bcbc;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
supports set hadoop mount path in pod,FLINK-28507,13471176,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,jackylau,jackylau,12/Jul/22 09:00,13/Jul/22 07:21,04/Jun/24 20:42,,,,,,,,,,Deployment / Kubernetes,,,,,,,0,,,,,"the hadoop configmap mounted path is hard code in flink k8s at /opt/hadoop/conf, but we want to set diffirent path because of my company has already set in /opt/flink/conf, and the conf is using in old code.

 
{code:java}
// just like the following

public static final ConfigOption<String> HADOOP_CONF_DIR =
        key(""kubernetes.hadoop.conf.dir"")
                .stringType()
                .defaultValue(""/opt/hadoop/conf"")
                .withDescription(
                        ""The hadoop conf directory that will be mounted in pod. The core-site.xml, ""
                                + ""hdfs-site.xml in this path will be overwritten from config map.""); {code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Tue Jul 12 09:11:01 UTC 2022,,,,,,,,,,"0|z16skw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"12/Jul/22 09:01;jackylau;hi [~yangwang166] what you think?;;;","12/Jul/22 09:11;wangyang0918;Should we get the hadoop conf dir from the {{HADOOP_CONF_DIR}} environment?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulsar sink don't support zero timestamp which may be provided by flink,FLINK-28506,13471146,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Duplicate,,syhily,syhily,12/Jul/22 07:33,16/Sep/22 10:03,04/Jun/24 20:42,09/Sep/22 03:49,1.15.0,,,,,,,,Connectors / Pulsar,,,,,,,0,,,,,The timestamp from flink's SinkWriter.Context#timestamp() could be zero. This is not allowed in Pulsar. We should filter the invalid timestamp when sinking the message in the Pulsar connector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-29207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Fri Sep 16 10:03:05 UTC 2022,,,,,,,,,,"0|z16se8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"16/Sep/22 10:03;nikola.sten;What is a workaround for this? How should i use the sink when context timestamp is 0?
Also when is this going to be released? In latest 1.15.2 this problem appears ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulsar sink doesn't support topic auto creation,FLINK-28505,13471145,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Duplicate,syhily,syhily,syhily,12/Jul/22 07:30,13/Feb/23 13:52,04/Jun/24 20:42,13/Feb/23 13:52,1.15.0,,,,,,,,Connectors / Pulsar,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-28351,,,,FLINK-28351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Mon Feb 13 02:24:49 UTC 2023,,,,,,,,,,"0|z16se0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"13/Feb/23 02:24;syhily;[~tison] Can you help me close this issue? It's fixed in FLINK-28351.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local-Global aggregation causes watermark alignment (table.exec.source.idle-timeout) of idle partition invalid,FLINK-28504,13471142,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Not A Bug,nyingping,nyingping,nyingping,12/Jul/22 07:22,23/Aug/22 12:39,04/Jun/24 20:42,05/Aug/22 00:29,1.14.5,,,,,,,,Table SQL / Runtime,,,,,,,0,pull-request-available,,,,"I have a window topN test task, the code is as follows

 
{code:java}
 Configuration configuration = new Configuration();
        configuration.setInteger(RestOptions.PORT, 8082);
        StreamExecutionEnvironment streamExecutionEnvironment =
                StreamExecutionEnvironment.getExecutionEnvironment(configuration);
 
        StreamTableEnvironment st = StreamTableEnvironment.create(streamExecutionEnvironment);
 
        st.getConfig().getConfiguration().setString(""table.exec.source.idle-timeout"", ""10s"");
        st.executeSql(
                ""CREATE TABLE test (\n""
                        + ""  `key` STRING,\n""
                        + ""  `time` TIMESTAMP(3),\n""
                        + ""  `price` float,\n""
                        + ""  WATERMARK FOR `time` AS `time` - INTERVAL '10' SECOND""
                        + "") WITH (\n""
                        + ""  'connector' = 'kafka',\n""
                        + ""  'topic' = 'test',\n""
                        + ""  'properties.bootstrap.servers' = 'testlocal:9092',\n""
                        + ""  'properties.group.id' = 'windowGroup',\n""
                        + ""  'scan.startup.mode' = 'latest-offset',\n""
                        + ""  'format' = 'json'\n""
                        + "")""
    String sqlWindowTopN =
                ""select * from ("" +
                ""  select *, "" +
                ""   ROW_NUMBER() over (partition by window_start, window_end order by total desc ) as rownum "" +
                ""     from ("" +
                ""       select key,window_start,window_end,count(key) as `count`,sum(price) total from table ("" +
                ""           tumble(TABLE test, DESCRIPTOR(`time`), interval '1' minute)"" +
                ""        ) group by window_start, window_end, key"" +
                ""   )"" +
                "") where rownum <= 3"";
    st.executeSql(sqlWindowTopN).print(); {code}
 

 

Run and do not get result on long time after.

Watermark appears as follows on the UI

 

!image-2022-07-12-15-11-51-653.png|width=898,height=388!

I didn't set the parallelism manually, so it defaults to 12. The data source Kafka has only one partition, so there are free partitions. To align the watermarks for the entire task, I use the `table.exec. source. Idle-timeout` configuration.

 

As above show,I found that the system automatically split window-Topn SQL into local-global aggregation tasks. In the Local phase, watermark didn't work as well as I expected.

 

Manually setting the parallelism to 1 did what I expected.
{code:java}
streamExecutionEnvironment.setParallelism(1); {code}
!image-2022-07-12-15-19-29-950.png|width=872,height=384!

 

I can also manually configure the system not to split into local-global phases. At this point, the `table.exec.source-idle-timeout ` configuration takes effect and the watermark is aligned.
{code:java}
st.getConfig().getConfiguration().setString(""table.optimizer.agg-phase-strategy"", ""ONE_PHASE""); {code}
result:

!image-2022-07-12-15-20-06-919.png|width=866,height=357!

 

To sum up, when the parallelism of Kafka partition is different from that of Flink, and idle partitions are generated, I expect to use the configuration'table exec. source. Idle-timeout'to use watermark alignment, but here it seems to fail.","flink 1.14

kafka 2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/Jul/22 07:11;nyingping;image-2022-07-12-15-11-51-653.png;https://issues.apache.org/jira/secure/attachment/13046603/image-2022-07-12-15-11-51-653.png","12/Jul/22 07:19;nyingping;image-2022-07-12-15-19-29-950.png;https://issues.apache.org/jira/secure/attachment/13046602/image-2022-07-12-15-19-29-950.png","12/Jul/22 07:20;nyingping;image-2022-07-12-15-20-06-919.png;https://issues.apache.org/jira/secure/attachment/13046601/image-2022-07-12-15-20-06-919.png",,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Tue Aug 23 12:39:23 UTC 2022,,,,,,,,,,"0|z16sdc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"12/Jul/22 07:31;martijnvisser;[~nyingping] Can you verify this with the latest Flink 1.14 release? ;;;","12/Jul/22 07:39;nyingping;[~martijnvisser] 

yeah,I have tested it on version 1.14.5, and the problem remains.;;;","12/Jul/22 07:52;martijnvisser;[~nyingping] Based on your info, isn't it more likely that the issue is caused by the local-global phases? Given that the idle-timeout parameter works when you disable local-global? ;;;","12/Jul/22 08:02;nyingping;[~martijnvisser] 

yes,It is work when set like this
{code:java}
st.getConfig().getConfiguration().setString(""table.optimizer.agg-phase-strategy"", ""ONE_PHASE""); {code}
 ;;;","18/Jul/22 08:29;nyingping;[~martijnvisser] Hi, Could you assign this task to me? I'd love to finish the job. If the community thinks it's a BUG.;;;","18/Jul/22 08:40;martijnvisser;[~nyingping] I've assigned it to you, looking forward to your PR;;;","23/Aug/22 12:39;pnowojski;{quote}
After giving this a second look I think the current code behaviour is indeed correct and I don't see any bug here.

You idle source subtasks have never sent any watermark to some of the downstream local aggregations. So those LocalWindowAggregate correctly don't report any watermark, resulting in Low Watermark in the webUI not being reported. As correctly, low watermark is NaN for the task as a whole.

It might be a bit confusing the current behaviour. Ideally maybe WebUI should present the lowest non NaN watermark, with a caveate/asteriks, that some subtasks are idle. But to me the current behaviour is also valid.
{quote};;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
