Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Outward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Outward issue link (Container),Inward issue link (Dependent),Outward issue link (Dependent),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Supercedes),Outward issue link (Supercedes),Inward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
java.lang.ClassNotFoundException: org.apache.flink.hbase.shaded.io.netty.channel.EventLoopGroup,FLINK-28013,13449681,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,wanghe,JasonLee,JasonLee,12/Jun/22 16:35,01/Sep/23 14:25,04/Jun/24 20:51,28/Aug/23 12:12,1.15.0,,,,,,,,,,,,,,hbase-3.0.0,,,,Connectors / HBase,,,,,0,pull-request-available,,,,"When using the hbase-1.4 version of the connector, the following exception will be reported. It seems that the io.netty related package is lost. I found that the io.netty package is redirected in maven. When I remove the redirection and compile a new one package, found that the task can be submitted normally, and then I tested the hbase-2.2 version of the package, and found that the task can be submitted normally, I compared the maven configuration of 1.4 and 2.2 and it seems that there is not much difference, so I am a little confused , why version 1.4 needs to remove redirection io.netty to run tasks normally
{code:java}
java.lang.RuntimeException: Cannot create connection to HBase.
    at org.apache.flink.connector.hbase.sink.HBaseSinkFunction.open(HBaseSinkFunction.java:153)
    at org.apache.flink.api.common.functions.util.FunctionUtils.openFunction(FunctionUtils.java:34)
    at org.apache.flink.streaming.api.operators.AbstractUdfStreamOperator.open(AbstractUdfStreamOperator.java:100)
    at org.apache.flink.table.runtime.operators.sink.SinkOperator.open(SinkOperator.java:58)
    at org.apache.flink.streaming.runtime.tasks.RegularOperatorChain.initializeStateAndOpenOperators(RegularOperatorChain.java:107)
    at org.apache.flink.streaming.runtime.tasks.StreamTask.restoreGates(StreamTask.java:700)
    at org.apache.flink.streaming.runtime.tasks.StreamTaskActionExecutor$1.call(StreamTaskActionExecutor.java:55)
    at org.apache.flink.streaming.runtime.tasks.StreamTask.restoreInternal(StreamTask.java:676)
    at org.apache.flink.streaming.runtime.tasks.StreamTask.restore(StreamTask.java:643)
    at org.apache.flink.runtime.taskmanager.Task.runWithSystemExitMonitoring(Task.java:948)
    at org.apache.flink.runtime.taskmanager.Task.restoreAndInvoke(Task.java:917)
    at org.apache.flink.runtime.taskmanager.Task.doRun(Task.java:741)
    at org.apache.flink.runtime.taskmanager.Task.run(Task.java:563)
    at java.lang.Thread.run(Thread.java:745)
Caused by: java.io.IOException: java.lang.reflect.InvocationTargetException
    at org.apache.flink.hbase.shaded.org.apache.hadoop.hbase.client.ConnectionFactory.createConnection(ConnectionFactory.java:240)
    at org.apache.flink.hbase.shaded.org.apache.hadoop.hbase.client.ConnectionFactory.createConnection(ConnectionFactory.java:218)
    at org.apache.flink.hbase.shaded.org.apache.hadoop.hbase.client.ConnectionFactory.createConnection(ConnectionFactory.java:119)
    at org.apache.flink.connector.hbase.sink.HBaseSinkFunction.open(HBaseSinkFunction.java:116)
    ... 13 more
Caused by: java.lang.reflect.InvocationTargetException
    at sun.reflect.GeneratedConstructorAccessor21.newInstance(Unknown Source)
    at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
    at java.lang.reflect.Constructor.newInstance(Constructor.java:423)
    at org.apache.flink.hbase.shaded.org.apache.hadoop.hbase.client.ConnectionFactory.createConnection(ConnectionFactory.java:238)
    ... 16 more
Caused by: java.lang.NoClassDefFoundError: org/apache/flink/hbase/shaded/io/netty/channel/EventLoopGroup
    at java.lang.Class.forName0(Native Method)
    at java.lang.Class.forName(Class.java:348)
    at org.apache.hadoop.conf.Configuration.getClassByNameOrNull(Configuration.java:2332)
    at org.apache.hadoop.conf.Configuration.getClassByName(Configuration.java:2297)
    at org.apache.hadoop.conf.Configuration.getClass(Configuration.java:2393)
    at org.apache.hadoop.conf.Configuration.getClass(Configuration.java:2419)
    at org.apache.flink.hbase.shaded.org.apache.hadoop.hbase.client.ConnectionManager$HConnectionImplementation.<init>(ConnectionManager.java:714)
    ... 20 more
Caused by: java.lang.ClassNotFoundException: org.apache.flink.hbase.shaded.io.netty.channel.EventLoopGroup
    at java.net.URLClassLoader.findClass(URLClassLoader.java:381)
    at java.lang.ClassLoader.loadClass(ClassLoader.java:424)
    at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:331)
    at java.lang.ClassLoader.loadClass(ClassLoader.java:357)
    ... 27 more
 {code}
!error-hbase-1.4.jpg!","Flink: 1.15.0

Hbase: 1.4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/Jun/22 16:35;JasonLee;error-hbase-1.4.jpg;https://issues.apache.org/jira/secure/attachment/13044975/error-hbase-1.4.jpg",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Aug 28 12:12:33 UTC 2023,,,,,,,,,,"0|z1363k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Jul/23 13:08;wanghe;I got the same exception. After comparing the dependency tree of the two modules, I found that the 2.x  connector introduced 'org.apache.hbase.thirdparty:hbase-shaded-netty' via 'hbase-client', which may be the root cause of the difference in behavior between the two packages.;;;","28/Aug/23 12:12;martijnvisser;Fixed in apache/flink-connector-hbase:main - 8b794a3ddb80f705d62e28d3b193f2d7d3521020;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add built-in support for fetching jar from GCS (Google Cloud Storage),FLINK-28012,13449662,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Not A Problem,,haoxin,haoxin,12/Jun/22 09:02,13/Jun/22 07:40,04/Jun/24 20:51,13/Jun/22 07:40,,,,,,,,,,,,,,,,,,,Kubernetes Operator,,,,,0,,,,,"I think it's easy and meaningful to add built-in support in session job mode for downloading jar from GCS now.

The logic should look like the code below
{code:java}
if (""http"".equals(uri.getScheme()) || ""https"".equals(uri.getScheme())) {
    return HttpArtifactFetcher.INSTANCE.fetch(jarURI, flinkConfiguration, targetDir);
} else if (""gs"".equals(uri.getScheme())) {
    return GcsArtifactFetcher.INSTANCE.fetch(jarURI, flinkConfiguration, targetDir);
} else {
    return FileSystemBasedArtifactFetcher.INSTANCE.fetch(
            jarURI, flinkConfiguration, targetDir);
} {code}
We only need to extend the ArtifactManager and implement the new GcsArtifactFetcher.

Also, the users can set up the GCS authorization credentials by ENV and ConfigMap so that no need for any change inner the operator. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Jun 13 07:40:39 UTC 2022,,,,,,,,,,"0|z135zc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"12/Jun/22 09:40;aitozi;I think the gcs should work with the filesystem based fetcher, have you tried by adding the flink-gs-fs-hadoop dependency ?;;;","12/Jun/22 10:02;haoxin;> have you tried by adding the flink-gs-fs-hadoop dependency ?

No, will give it a try later.;;;","13/Jun/22 02:10;wangyang0918;Yes. I also agree that GCS support should be covered by Flink filesystem.;;;","13/Jun/22 05:53;haoxin;Haven't tested that but maybe it's great if we can add some instructions for the Operator just like Flink does.

 

[https://nightlies.apache.org/flink/flink-docs-master/docs/deployment/filesystems/gcs/]

 ;;;","13/Jun/22 07:02;aitozi;[~haoxin] there is a link to the flink filesystem now, you could refer to it [here|https://nightlies.apache.org/flink/flink-kubernetes-operator-docs-release-1.0/docs/custom-resource/overview/#flinksessionjob-spec-overview];;;","13/Jun/22 07:40;haoxin;Thanks a lot!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Optimize getAllPartitions in HiveSource,FLINK-28011,13449652,13444738,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,luoyuxia,luoyuxia,luoyuxia,12/Jun/22 05:15,03/Aug/22 08:38,04/Jun/24 20:51,03/Aug/22 08:38,,,,,,,,,,,,,,,1.16.0,,,,Connectors / Hive,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Aug 03 08:38:52 UTC 2022,,,,,,,,,,"0|z135x4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"03/Aug/22 08:38;godfreyhe;Fixed in master: 363023d27a0fe838a2fa20422ae111da43643df2;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use deleteRange to optimize the clear operation of RocksDBMapState.,FLINK-28010,13449599,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Won't Fix,Ming Li,Ming Li,Ming Li,11/Jun/22 09:20,29/Jan/23 03:09,04/Jun/24 20:51,21/Nov/22 02:17,,,,,,,,,,,,,,,,,,,Runtime / State Backends,,,,,0,pull-request-available,,,,"[FLINK-21321|https://issues.apache.org/jira/browse/FLINK-21321] has introduced {{deleteRange}} for fast clipping of Incremental checkpoint, so can the {{clear}} method in {{RocksDBMapState}} be replaced with {{{}deleteRange{}}}?",,,,,,,,,,,,,,,,,,,,,,,,FLINK-30475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Nov 21 02:16:29 UTC 2022,,,,,,,,,,"0|z135lk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Jun/22 03:29;Yanfei Lei;I think this is an interesting idea. There is a bit of difference between FLINK-21321 and {{clear()}} method in {{{}RocksDBMapState{}}}. For {{{}clear{}}}() method, the keys we want to delete are all under a big {*}map key{*}.  BTW, the KeyGroupRange is a bounded interval [], while deleteRange is a left-bounded interval [), we should be careful with the intervals.;;;","01/Jul/22 06:52;Ming Li;[~Yanfei Lei] thank you for your reply, I think this can save us a lot of delete overhead. At the same time, can this also optimize the performance of seek? Because LSM-Tree is not friendly to range-query when there are a large number of tombones.;;;","01/Jul/22 07:09;Yanfei Lei;[~Ming Li]  The performance of seeking is a good point worth considering, there are benchmarks on the performance of {{{}Point Lookups{}}}, {{Range Scan}} in  [https://rocksdb.org/blog/2018/11/21/delete-range.html|https://rocksdb.org/blog/2018/11/21/delete-range.html,] ,  {{deleteRange}} would bring a little regression on reading.;;;","05/Jul/22 07:07;Ming Li;hi, [~yunta], do you think this optimization is feasible?;;;","05/Jul/22 10:29;yunta;I think this is possible if we can build the bytes with the next primary key (or the so-called map key) for the usage of deleteRange.;;;","06/Jul/22 08:08;Ming Li;[~yunta], maybe we just need to add 1 to the prefix bytes?;;;","07/Jul/22 02:47;yunta;[~Ming Li] Since we do not have a special separator between the primary key and user key, we need to use the next byte array to represent the prefix bytes. If so, I think we can make this.;;;","11/Jul/22 09:54;Ming Li;[~yunta], can you assign this to me and help review the code?;;;","11/Jul/22 12:02;yunta;[~Ming Li] Already assigned to you, please go ahead.;;;","21/Nov/22 02:16;Yanfei Lei;Because the experimental results of [iterator|https://github.com/apache/flink/pull/20405#discussion_r951119238] are not as expected, as [~Ming Li] said, ""maybe this is not a good optimization, we moved the cost of delete with Iterator to read, and this cost will persist unless a compaction occurs"".  I am going to close this ticket, please reopen this if there are some other optimizations.;;;",,,,,,,,,,,,,,,,,,,,,,
Optimize data split,FLINK-28009,13449597,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,,complone,complone,11/Jun/22 09:06,19/Mar/23 05:48,04/Jun/24 20:51,19/Mar/23 05:48,table-store-0.1.0,,,,,,,,,,,,,,,,,,Table Store,,,,,0,auto-deprioritized-major,pull-request-available,,,"Optimizing split data logic for large data volumes using parallel streams

https://github.com/apache/flink-table-store/pull/151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Sun Aug 28 22:38:05 UTC 2022,,,,,,,,,,"0|z135l4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"21/Jun/22 02:18;lzljs3620320;Hi [~complone]  Back to jira, can you prove what this jira is trying to optimize? For example, is there any benchmark that proves where it's slow, we need a performance boost, how much input data is there, and in what scenarios is it causing a bottleneck?;;;","20/Aug/22 22:37;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issues has been marked as Major but is unassigned and neither itself nor its Sub-Tasks have been updated for 60 days. I have gone ahead and added a ""stale-major"" to the issue"". If this ticket is a Major, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.
;;;","28/Aug/22 22:38;flink-jira-bot;This issue was labeled ""stale-major"" 7 days ago and has not received any updates so it is being deprioritized. If this ticket is actually Major, please raise the priority and ask a committer to assign you the issue or revive the public discussion.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can not get secondary resource from context after operator restart,FLINK-28008,13449577,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,morhidi,aitozi,aitozi,11/Jun/22 01:52,24/Nov/22 01:03,04/Jun/24 20:51,27/Jun/22 09:01,kubernetes-operator-1.1.0,,,,,,,,,,,,,,kubernetes-operator-1.1.0,,,,Kubernetes Operator,,,,,0,pull-request-available,,,,"how to reproduce:
 * create session and submit session job
 * delete session job
 * restart operator
 * submit session job again

Then it will print log 
{noformat}
2022-06-11 01:51:15,645 o.a.f.k.o.r.s.FlinkSessionJobReconciler [WARN ][default/basic-session-job-example] Session cluster deployment is not found
2022-06-11 01:51:15,645 o.a.f.k.o.r.s.FlinkSessionJobReconciler [WARN ][default/basic-session-job-example2] Session cluster deployment is not found{noformat}
But the session cluster is still there
{noformat}
basic-session-cluster-547655d95c-888mm    1/1     Running   0          6m34s{noformat}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Jun 27 09:01:26 UTC 2022,,,,,,,,,,"0|z135go:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"11/Jun/22 03:01;aitozi;I test with the last release version with 
{code:java}
helm install flink-kubernetes-operator flink-kubernetes-operator-1.0.0/flink-kubernetes-operator {code}
It do not reproduce. I will take a closer look how it happen;;;","11/Jun/22 03:28;aitozi;I don't know if there any trick with the new sdk version. cc [~morhidi], maybe you have some more insights for this;;;","13/Jun/22 02:12;wangyang0918;Does it mean the shared informer does not work properly?;;;","13/Jun/22 07:05;aitozi;I think so, but I have not make sure;;;","22/Jun/22 13:00;morhidi;I'll have a look at it.;;;","23/Jun/22 07:05;morhidi;Reported this under https://github.com/java-operator-sdk/java-operator-sdk/issues/1299 and driving it till resolution.;;;","24/Jun/22 08:53;morhidi;quick update: we have a PR open in JOSDK with the [fix|[https://github.com/java-operator-sdk/java-operator-sdk/pull/1300]] we need to address this issue. ETA for JOSDK v3.0.3 is today or Monday. I'll open a PR once the patch release is out.;;;","27/Jun/22 09:01;gyfora;merged to main 6a4e6a5edb386675fede2790b81e31cdbcb2952c;;;",,,,,,,,,,,,,,,,,,,,,,,,
Tests for AWS Connectors Using SDK v2 to use Synchronous Clients,FLINK-28007,13449545,,Technical Debt,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,CrynetLogistics,CrynetLogistics,CrynetLogistics,10/Jun/22 16:59,17/Jun/22 08:44,04/Jun/24 20:51,17/Jun/22 08:44,1.15.0,,,,,,,,,,,,,,1.16.0,,,,Connectors / Common,Connectors / Kinesis,,,,0,pull-request-available,,,,"h3. Background

The unit & integration tests for the aws connectors in the Flink repository create clients using static helper methods in flink-connector-aws-base, in the AWSServicesTestUtils class.

These static helper methods create the asynchronous flavour of the clients required by aws connectors.

*Task*

* Change these to the synchronous version for each aws client.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-26256,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri Jun 17 08:44:11 UTC 2022,,,,,,,,,,"0|z1359k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"17/Jun/22 08:44;dannycranmer;Merged to master https://github.com/apache/flink/commit/403cd3b86b9131161d6380bfd2c5200dcbe6989c;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run architecture tests in single JVM,FLINK-28006,13449471,13449467,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chesnay,chesnay,chesnay,10/Jun/22 13:26,15/Jun/22 10:41,04/Jun/24 20:51,15/Jun/22 10:41,,,,,,,,,,,,,,,1.16.0,,,,Tests,,,,,0,pull-request-available,,,,"The architecture tests, in particular the production ones, load a lot of classes into memory (~700mb). To prevent this from failing in the future I propose to run these tests in a single JVM that gets the entire memory budget.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Jun 15 10:41:48 UTC 2022,,,,,,,,,,"0|z134t4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"15/Jun/22 10:41;chesnay;master: 6b71e44ff929ae8af89234b105f15aeb33029a8e;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reduce network memory in UnalignedCheckpointITCase,FLINK-28005,13449468,13449467,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chesnay,chesnay,chesnay,10/Jun/22 13:24,15/Jun/22 08:28,04/Jun/24 20:51,15/Jun/22 08:28,,,,,,,,,,,,,,,1.16.0,,,,Runtime / Checkpointing,Tests,,,,0,pull-request-available,,,,"This test has some cases where it spawns 25 task managers, each allocation 64mb for the network buffer pool.

This is likely way more than necessary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Jun 15 08:28:16 UTC 2022,,,,,,,,,,"0|z134sg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"15/Jun/22 08:28;chesnay;master: f2e25d797e7ba7b2c76941e137b3d77a3e1a6e4b;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reduce CI heap space by 25%,FLINK-28004,13449467,,Technical Debt,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,chesnay,chesnay,chesnay,10/Jun/22 13:22,16/Jun/22 12:47,04/Jun/24 20:51,16/Jun/22 12:47,,,,,,,,,,,,,,,1.16.0,,,,Build System / CI,,,,,0,pull-request-available,,,,"I've recently seen several builds where docker crashes again with out of memory errors.

Our current memory configuration is a bit optimistic and relies on all forks _not_ hitting the upper limit.

If we'd reduce the heap space by 25% everything could run at maximum without memory running out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Jun 16 12:47:10 UTC 2022,,,,,,,,,,"0|z134s8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"16/Jun/22 12:47;chesnay;master: bac9943b344005b9beb142adf84138fb1773fca4;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
